National Database Number,Common Name,Genus,Species,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,Gear Collection Flag,Other Findings upon Level Y/N,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Status,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Sunk Flag,Carcass Frozen for Later Exam,Carcass Landfill Flag,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy
SE-2018-1202304,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,"west end beach of DI, on the south side where the rock wall ends",30.2428,actual,-88.23229,actual,,CBD,C,C,C,N,,N,CBD,4/13/2018,2018,APR,13,Beach or Land,Fresh Dead,4/18/2018,2018,APR,18,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,225,cm,actual,,,,Y,Y,,,,,,,N,,,
SE-2017-1196957,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,On beach behind 315 Audubon Place,30.24355,estimate,-88.09321,estimate,N,CBD,N,N,N,N,,N,N,7/12/2017,2017,JUL,12,Beach or Land,Fresh Dead,7/12/2017,2017,JUL,12,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,SUBADULT,230,cm,actual,161,kg,actual,Y,N,N,Y,N,N,N,N,Y,complete,frozen,7/16/2017
SE-2017-1195217,"Dolphin, bottlenose",Tursiops,truncatus,SE,Coden,Mobile,AL,Gulf of Mexico,Behind 13189 Dauphin Island Pkwy,30.415731,actual,-88.10481,actual,N,N,N,N,N,N,,N,N,4/13/2017,2017,APR,13,Beach or Land,Fresh Dead,4/14/2017,2017,APR,14,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,SUBADULT,225,cm,actual,122,kg,actual,Y,N,N,Y,N,N,N,N,Y,complete,frozen,4/21/2017
SE-2018-1203209,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,1.5-2mi west of the west end beach parking lot,30.24601,actual,-88.21843,actual,,Y,C,C,Y,N,,N,Y,6/18/2018,2018,JUN,18,Beach or Land,Fresh Dead,6/18/2018,2018,JUN,18,Moderate Decomposition,,,,,,,,,,,,,,,,UNKNOWN,ADULT,258,cm,estimate,,,,Y,Y,,,,,,,Y,limited,fresh,6/18/2018
SE-2018-1203208,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,"Carcass reported and confirmed wit photos estimated at 30.237880, -88.091624, re-reported on 6/9/18 at caller submitted coordinates of 30.011205, -88.04810 and confirmed w photos but not recovered",30.23788,estimate,-88.091624,estimate,N,CBD,C,C,C,N,,N,CBD,6/8/2018,2018,JUN,8,Floating,Fresh Dead,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,UNKNOWN,0,cm,notMeasured,,,,Y,N,N,N,N,N,N,N,N,,,
SE-2017-1195772,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,Dolphin carcass was seen floating. City and Zip code are estimates. GPS Coordinates were given by complainant.,30.212633,actual,-88.060483,actual,N,CBD,N,N,N,N,,N,CBD,5/16/2017,2017,MAY,16,Floating,Fresh Dead,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,,180,cm,estimate,,,,Y,N,N,N,N,N,N,N,N,,,
SE-2018-1202309,"Dolphin, bottlenose",Tursiops,truncatus,SE,Coden,Mobile,AL,Gulf of Mexico,15405 dauphin island parkway,30.36974,actual,-88.11048,actual,,CBD,C,C,C,N,,N,CBD,4/23/2018,2018,APR,23,Beach or Land,Moderate Decomposition,4/23/2018,2018,APR,23,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,290,cm,actual,,,,Y,Y,,,,,,,N,,,
SE-2019-1220485,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,one half mile west of Katrina Cut on the West End Beach of DI,30.243722,actual,-88.233372,actual,N,CBD,C,C,C,,,N,CBD,12/26/2019,2019,DEC,26,Beach or Land,Moderate Decomposition,12/26/2019,2019,DEC,26,Moderate Decomposition,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,MALE,ADULT,249,cm,actual,153,,actual,Y,N,N,Y,N,N,N,N,Y,complete,fresh,12/28/2019
SE-2017-1194565,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,~100 m east of house in the water closest to bird sanctuary,30.2446,actual,-88.08919,actual,N,CBD,N,N,N,N,,N,CBD,3/20/2017,2017,MAR,20,Beach or Land,Moderate Decomposition,3/21/2017,2017,MAR,21,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,ADULT,263,cm,actual,221,kg,actual,Y,N,N,Y,N,N,N,N,Y,complete,fresh,3/22/2017
SE-2017-1195769,"Dolphin, bottlenose",Tursiops,truncatus,SE,Mobile,Mobile,AL,Gulf of Mexico,"On rocks, one lot south of 3700 Bayfront Road. *Field GPS coordinates were incorrect",30.596954,estimate,-88.061359,estimate,N,CBD,N,N,N,N,,N,CBD,5/1/2017,2017,MAY,1,Beach or Land,Moderate Decomposition,5/1/2017,2017,MAY,1,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,ADULT,279,cm,actual,229,kg,actual,Y,N,N,Y,N,N,N,N,Y,limited,fresh,5/1/2017
